userID,scheme,Logins.Total,Logins.success,Logins.Failure,Logins.avgSuccess,Logins.avgFail
ast112,testtextrandom,15,15,0,7728,0
ast134,testtextrandom,15,15,0,7529,0
ipt119,testpasstiles,18,16,2,14184,8500
ast135,testtextrandom,4,3,1,7333,5000
ast114,testtextrandom,22,15,7,11131,9857
ast136,testtextrandom,15,15,0,10329,0
User540191,ColorAnimalPair,3,0,3,0,14666
ast115,testtextrandom,15,15,0,11196,0
ast116,testtextrandom,15,15,0,5930,0
ast138,testtextrandom,16,16,0,15683,0
ipt137,testpasstiles,20,16,4,19558,21999
ast118,testtextrandom,16,15,1,7797,9000
User185034,ColorAnimalPair,5,3,2,21000,40500
ipt133,testpasstiles,15,14,1,14782,6000
ipt134,testpasstiles,19,15,4,21264,24249
User527033,ColorAnimalPair,4,1,3,35000,18333
ipt113,testpasstiles,29,17,12,10525,8831
ipt136,testpasstiles,18,15,3,12464,17333
ipt131,testpasstiles,15,12,3,37413,45666
ipt110,testpasstiles,19,15,4,11530,41499
User132248,ColorAnimalPair,3,0,3,0,24666
User543726,ColorAnimalPair,3,0,3,0,35666
User256153,ColorAnimalPair,2,0,2,0,23500
User989763,ColorAnimalPair,3,3,0,28000,0
User771201,ColorAnimalPair,6,0,6,0,40000
ast131,testtextrandom,21,15,6,12063,22500
ast111,testtextrandom,20,12,8,20914,9124
ast133,testtextrandom,9,9,0,14553,0
ipt109,testpasstiles,15,15,0,23130,0
ast103,testtextrandom,17,16,1,12183,18000
ast125,testtextrandom,18,15,3,6398,6000
ast104,testtextrandom,26,16,10,11935,13998
ast105,testtextrandom,15,12,3,7081,8333
ipt104,testpasstiles,12,12,0,21914,0
ipt105,testpasstiles,22,15,7,9130,14713
ast107,testtextrandom,21,15,6,5130,6500
ipt106,testpasstiles,20,14,6,12068,9499
ast108,testtextrandom,19,19,0,4206,0
ipt101,testpasstiles,32,16,16,11371,28121
ipt145,testpasstiles,16,15,1,24730,34000
User872252,ColorAnimalPair,3,3,0,52666,0
ipt143,testpasstiles,17,14,3,12925,15666
User161455,ColorAnimalPair,3,1,2,23000,13500
